JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460912.315,7.8,,,Vis.,OGAA,,76,84,AAVSO X38667TT,,,,Z,,,,EG And,BAA-VSS,STD,,,,
2460912.6278,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460912.93264,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460913.3463,7.463,0.023,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.64,Z,7.025,7.412,,EG AND,AAVSO,STD,,,,
2460913.34861,7.2,,,Vis.,PARC,,70,73,X40648ECW,L102/500,,,Z,,,,EG And,AAVSO,STD,,,,
2460915.47917,7.5,,,Vis.,PBYA,,73,76,X28788EJX,15X70 Binoculars ,,,Z,,,,EG And,AAVSO,STD,,,,
2460918.3674,7.5,,,Vis.,HGUA,,70,76,23189ATR,,,,Z,,,,EG AND,SAAF,STD,,,,
2460919.3193,7.316,0.020,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.74,Z,7.025,7.386,,EG AND,AAVSO,STD,,,,
2460919.344,7.6,,,Vis.,OGAA,B,76,,AAVSO X38667TT,high humidity,,,Z,,,,EG And,BAA-VSS,STD,,,,
2460920.31528,7.3,,,Vis.,PARC,,73,76,x40648ECW,L102/500 ,,,Z,,,,eg and,MCSE,STD,,,,
2460921.90833,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460922.6044,7.267,0.011,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.06,Z,7.025,7.406,,EG AND,AAVSO,STD,,,,
2460925.3046,7.197,0.017,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.72,Z,7.025,7.404,,EG AND,AAVSO,STD,,,,
2460925.42708,7.3,,,Vis.,VATA,B,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2460927.65347,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460931.25694,7.4,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460931.414792,8.5,0.3,,TB,SJOAA,,ENSEMBLE,000-BBC-019,X40765VW,"""NIKON D7200, 300.0mm""",0,1.36294,Z,,8.2,None,EG And,,STD,0,,,
2460931.414792,7.1,0.2,,TG,SJOAA,,ENSEMBLE,000-BBC-019,X40765VW,"""NIKON D7200, 300.0mm""",0,1.36294,Z,,7.5,None,EG And,,STD,0,,,
2460931.414792,6.46,0.07,,TR,SJOAA,,ENSEMBLE,000-BBC-019,X40765VW,"""NIKON D7200, 300.0mm""",0,1.36294,Z,,7.28,None,EG And,,STD,0,,,
2460932.62639,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460933.2807,7.223,0.018,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.74,Z,7.025,7.368,,EG AND,AAVSO,STD,,,,
2460934.25,7.5,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460934.29583,7.4,,,Vis.,PARC,,73,76,X40648ECW,L102/500 ,,,Z,,,,EG And,MCSE,STD,,,,
2460934.93056,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460935.46806,7.5,,,Vis.,PBYA,,70,76,X28788EJX,15X70 Binoculars ,,,Z,,,,EG And ,AAVSO,STD,,,,
2460936.62847,7.4,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460937.2975,7.212,0.009,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.52,Z,7.025,7.388,,EG AND,AAVSO,STD,,,,
2460937.7096,7.4,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2460938.24306,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460938.315,7.8,,,Vis.,OGAA,,76,84,AAVSO X38667TT,,,,Z,,,,EG And,BAA-VSS,STD,,,,
2460938.42083,7.8,,,Vis.,VATA,,76,84,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2460938.7548,7.4,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2460938.76389,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460939.27083,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460939.2747,7.233,0.012,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.65,Z,7.025,7.409,,EG AND,AAVSO,STD,,,,
2460939.40625,7.1,,,Vis.,BPHC,,76,70,X40493ACY,,0,,Z,,,,EG And,AAVSO,STD,,,,
2460939.53,7.9,,,Vis.,JLZ,,76,73,10256GX,,,,Z,,,,EG AND,MCSE,STD,,,,
2460939.61875,7.7,,,Vis.,CDYA,U,76,73,10-star tutorial,,0,,Z,,,,EG And,AAVSO,STD,,,,
2460940.28472,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460941.25347,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460941.2827,7.224,0.037,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.54,Z,7.025,7.382,,EG AND,AAVSO,STD,,,,
2460942.24306,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460943.45625,7.5,,,Vis.,PBYA,,73,76,X29175CV ,15X70 Binoculars ,,,Z,,,,EG And ,AAVSO,STD,,,,
2460945.57014,6.9,,,Vis.,CKB,,67,70,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460945.7229,7.157,0.001,,V,KPL,,SAO 54074,SAO 54147,PEP,"""|SCOPE=10 INCH F/15 CASS.|SENSOR=SSP5 GEN II, PMT|LOC=32N/94W|INDEX=BV|TV_BV=-0.095|K_V_EST=0.25|DELTA_EST=0.735|CREFMAG=7.364|PROG=PEP_BVRI_V1.2.XLS|""",1,1.04,Z,-3.464,-3.257,,EG AND,AAVSO,STD,,,,
2460945.7514,7.4,,,Vis.,KBE,,73,76,X37399AJW,,,,Z,,,,EG And,AAVSO,STD,,,,
2460946.583333,7.1,,,Vis.,CDYA,,76,84,x40774akk,,0,,Z,,,,EG And,AAVSO,STD,,,,
2460946.7062,7.1,,,Vis.,SGE,,70,73,X38231GQ,,,,Z,,,,EG And,RASC,STD,,,,
2460947.3928,7.305,0.008,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.06,Z,7.025,7.436,,EG AND,AAVSO,STD,,,,
2460947.63889,7.3,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460947.7234,7.4,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2460948.22917,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460948.631944,7.6,,,Vis.,CDYA,,70,76,x40833fq,,0,,Z,,,,EG And,AAVSO,STD,,,,
2460948.81111111,7.8,,,Vis.,CVIC,,76,84,X40401YN,,0,,Z,,,,EG And,AAVSO,STD,,,,
2460949.25,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460950.677083,7.6,,,Vis.,CDYA,,70,76,x4077akk,,0,,Z,,,,EG And,AAVSO,STD,,,,
2460951.2607,7.215,0.006,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.51,Z,7.025,7.407,,EG AND,AAVSO,STD,,,,
2460952.41111,7.2,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2460952.93889,6.9,,,Vis.,CKB,,67,70,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460953.21528,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460956.21528,7.3,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460957.21528,7.5,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460958.3733,7.277,0.012,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.05,Z,7.025,7.441,,EG AND,AAVSO,STD,,,,
2460959.58681,6.9,,,Vis.,CKB,,67,70,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460959.7660,7.5,,,Vis.,SGE,,70,76,X38231GQ,,,,Z,,,,EG And,RASC,STD,,,,
2460962.2936,7.259,0.008,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.20,Z,7.025,7.430,,EG AND,AAVSO,STD,,,,
2460963.9625,6.9,,,Vis.,CKB,,67,70,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460964.21528,7.3,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460965.21528,7.3,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460966.21528,7.4,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460967.24861,7.4,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460967.2602,7.212,0.008,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.28,Z,7.025,7.425,,EG AND,AAVSO,STD,,,,
2460967.5157,7.4,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2460968.20833,7.4,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460968.70417,6.9,,,Vis.,CKB,,67,70,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460969.6813,7.086,0.001,,V,KPL,,SAO 54074,SAO 54147,PEP,"""|SCOPE=10 INCH F/15 CASS.|SENSOR=SSP5 GEN II, PMT|LOC=32N/94W|INDEX=BV|TV_BV=-0.095|K_V_EST=0.25|DELTA_EST=0.735|CREFMAG=7.364|PROG=PEP_BVRI_V1.2.XLS|""",1,1.02,Z,-3.539,-3.321,,EG AND,AAVSO,STD,,,,
2460969.7035,7.1,,,Vis.,SGE,,70,73,X38231GQ,,,,Z,,,,EG And,RASC,STD,,,,
2460973.2653,7.195,0.017,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.20,Z,7.025,7.425,,EG AND,AAVSO,STD,,,,
2460973.47292,7.2,,,Vis.,PBYA,,70,73,X28788EJX,15X70 Binoculars ,,,Z,,,,EG And ,AAVSO,STD,,,,
2460973.53333,7.5,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2460976.58889,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460977.26042,7.2,,,Vis.,PBYA,,73,76,X28788EJX ,"""15X70 Binoculars, moon""",,,Z,,,,EG And ,AAVSO,STD,,,,
2460980.56806,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460981.31,7.1,,,Vis.,JLZ,,73,70,10256X,,,,Z,,,,EG AND,MCSE,STD,,,,
2460981.97778,7.2,,,Vis.,SANG,B,7.0,7.3,x27432baw,,,,Z,,,,eg and,AAVSO,STD,,,,
2460983.2504,7.212,0.011,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.16,Z,7.025,7.419,,EG AND,AAVSO,STD,,,,
2460983.66042,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460984.6771,7.4,,,Vis.,SGE,,70,76,X38231GQ,,,,Z,,,,EG And,RASC,STD,,,,
2460986.2084,7.218,0.009,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.27,Z,7.025,7.416,,EG AND,AAVSO,STD,,,,
2460986.57917,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460988.4971,7.4,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2460991.54722,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460992.36667,7.5,,,Vis.,PBYA,,73,76,X28788EJX,15X70 Binoculars ,,,Z,,,,EG And,AAVSO,STD,,,,
2460993.2276,7.318,0.007,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.15,Z,7.025,7.433,,EG AND,AAVSO,STD,,,,
2460993.57986,7.6,,,Vis.,WLY,,70,92,5271 BDX,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460993.6083,7.185,0.001,,V,KPL,,SAO 54074,SAO 54147,PEP,"""|SCOPE=10 INCH F/15 CASS.|SENSOR=SSP5 GEN II, PMT|LOC=32N/94W|INDEX=BV|TV_BV=-0.095|K_V_EST=0.25|DELTA_EST=0.735|CREFMAG=7.364|PROG=PEP_BVRI_V1.2.XLS|""",1,1.02,Z,-3.454,-3.232,,EG AND,AAVSO,STD,,,,
2460994.42153,7.7,,,Vis.,VATA,,76,84,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2460995.52639,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460996.306,7.3,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460997.3806,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460998.2004,7.311,0.012,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.18,Z,7.025,7.436,,EG AND,AAVSO,STD,,,,
2460998.60972,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460999.21181,7.6,,,Vis.,KMI,,7.6,,X41288JQ,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461000.17639,7.6,,,Vis.,KMI,,7.6,,X41288JQ,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461001.242,7.6,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461002.61806,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461002.675694,7.1,,,Vis.,FJOF,,70,73,X39011CEX,10x56 Binocular,0,,Z,,,,EG And,AAVSO,STD,,,,
2461003.2320,7.315,0.008,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.08,Z,7.025,7.399,,EG AND,AAVSO,STD,,,,
2461006.21736,7.3,,,Vis.,KMI,,7.3,,X41288JQ,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461006.253,7.1,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461006.485417,7.3,,,Vis.,BPHC,,76,70,X40493ACY,,0,,Z,,,,EG And,AAVSO,STD,,,,
2461006.5625,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461007.2933,7.258,0.014,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.01,Z,7.025,7.431,,EG AND,AAVSO,STD,,,,
2461009.21,7.4,,,Vis.,JLZ,,76,73,10256X,,,,Z,,,,EG AND,MCSE,STD,,,,
