JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2461078.54722,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461083.5255,7.5,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2461086.261,7.4,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461087.55347,7.4,,,Vis.,CKB,,73,76,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461088.15278,7.6,,,Vis.,MOSB,,7.0,7.6,x39596aaw,,,,Z,,,,eg and,AAVSO,STD,,,,
2461089.2640,7.337,0.014,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.47,Z,7.025,7.395,,EG AND,AAVSO,STD,,,,
2461089.2658,7.372,0.008,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.48,Z,7.025,7.409,,EG AND,AAVSO,STD,,,,
2461090.23333,7.8,,,Vis.,VATA,,76,80,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2461092.3368,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461093.3146,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461093.55486,7.4,,,Vis.,CKB,,73,76,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461094.3194,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461095.3111,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461096.96458,7.2,,,Vis.,SANG,B,7.0,7.3,x27432baw,,,,Z,,,,eg and,AAVSO,STD,,,,
2461097.2926,7.302,0.011,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.91,Z,7.025,7.406,,EG AND,AAVSO,STD,,,,
2461100.55486,7.4,,,Vis.,CKB,,73,76,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461102.281,7.7,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461105.25486,7.5,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2461108.287,7.4,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461112.55486,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461113.2606,7.245,0.017,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,2.06,Z,7.025,7.372,,EG AND,AAVSO,STD,,,,
2461113.2614,7.304,0.014,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,2.07,Z,7.025,7.347,,EG AND,AAVSO,STD,,,,
2461113.55903,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461114.28,7.5,,,Vis.,JLZ,,76,73,10256X,,,,Z,,,,EG AND,MCSE,STD,,,,
2461120.55903,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461162.95139,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461163.95278,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461170.55,7.4,,,Vis.,JLZ,,76,73,10256X,,,,Z,,,,EG AND,MCSE,STD,,,,
2461170.58125,7.4,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2461172.925,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461174.94583,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461176.6326,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461180.6375,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461181.6340,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461182.6347,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461183.6410,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461186.92222,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461187.6201,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461188.6174,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461190.53681,7.8,,,Vis.,VATA,B,76,84,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2461193.93056,6.9,,,Vis.,CKB,,69,70,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461197.6049,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461198.5979,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461199.5618,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461200.5951,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461201.5611,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461202.566,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461202.93819,6.9,,,Vis.,CKB,,69,70,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461203.5542,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461207.6111,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461208.5972,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461218.54097,7.5,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2461218.91458,6.9,,,Vis.,CKB,,69,70,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461219.48,7.5,,,Vis.,JLZ,,76,73,10256X,,,,Z,,,,EG AND,MCSE,STD,,,,
2461225.80903,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461231.87847,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461232.52292,7.5,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
